policyID,harvesterJobID,childUserHarvesterCount,childNONUserHarvesterCount
B5E34694251F36A6,742940033579030523,0,0
01129D6E366F4AAD,742979114479726408,0,0
0CED92180B91AE98,743551329186784800,0,0
4764714B5C657462,742157650744609067,0,0
EA56AFF21D00166E,747048777200261644,0,12
DF8657B247333C2C,743634159204996590,0,0
5A83C94BFB206C14,743665723358327558,0,0
CB8089B40BC81358,743763994060895295,0,0
13BDF061EFEDCDCE,750639659186085033,0,2
2B60A1B01DA91F8B,743968960631123979,0,0
92E8AB751AD62110,742415354168694227,0,2
A8BAE69CAF08B6DD,744722841277321302,0,0
5F5F562CE0D34022,739234901783596081,0,0
29CE0676FD62EE84,754369525286070462,0,0
910088E5412AB56D,744827539244511319,0,0
8A57AB305A0F8468,749574061147284729,0,0
A1F4B19B4ED4C731,744867388204722507,0,0
BE9AD4B1EDFA38EE,750425994664040585,0,0
DA0417DF8BA0BE57,750534236233618055,0,0
BB3EC525ED865C58,739639204130850165,0,0
DCB98BD950B048FB,744882810775346416,0,0
E3EFBC6DBC9F1C8B,754385221486515339,0,0
8D89F63FE06CE4A6,750684913922498614,0,0
704557F0E8181B3E,744996394809973282,0,0
42BF6F8E70727EA5,745037077644146177,0,0
2DDAAE7B3BB59022,750769436599235693,0,0
BE6C503B130F00AC,745154518513194826,0,0
00419CA2E2CBB83F,745307346649634570,0,0
380668E4E0E9115D,737688829652900794,0,0
78660101F28F401B,754441102442211124,0,0
ACB8BE9178D82950,753661537115761343,0,0
D438D0D49810E08B,739795396951162172,0,0
7A0B4AD6070922E0,754459942980698591,0,0
99A116EAE5254F87,739837718762087166,0,0
3FC198586B38A873,741746296746881487,0,2
0D97B548DC0312D6,740032842873386697,0,0
3725112AA07EDB11,745503194535416657,0,0
6F3B08B4871D49ED,754467034865058015,0,0
94A7623EC20E44EE,740099404701453385,0,0
EBD1E06CB09D1F0E,754282119233423065,0,0
FEFAF623828A379A,753443590634794257,0,0
94C7BCB4CACF6B65,740303396941058277,0,0
31ED3E9D18D1E043,745720920840447773,0,0
CA559798C03999DE,753559916792514062,0,0
E6B03ACF6A6CF076,754487319641307643,0,0
B375042EEEE85A08,754489730323342257,0,2
99BDA51A286EDFCD,740362027404940780,0,0
08CBF9EA4568ED1E,746362769591770294,0,0
B80F53DD434A4DF1,754446378444664406,0,4
C7EEDB9C05224A8E,754491368598039962,0,0
C75112A429D24657,746571084656145120,0,0
33A80B1E878020F6,740500453018716436,0,0
1DDC42AA15927271,754510055499173476,0,0
04977818CA9BFEBC,754545988759521474,0,0
CDDB6BD904EDBA96,740544251523936046,0,0
4D81D483E9804CF4,746629521228618500,0,0
5A70D085003BD74B,740550793147086969,0,0
3B4849CEFAFE8CEF,746650380226601598,0,0
4AB9B7A697235FEA,746678730517530283,0,0
C2CDDCCCCAA06CA2,742491845314412038,0,0
AAA558E204AE4D3B,754532903667604541,0,0
AB6635FED12F8D52,746687936228259930,0,0
6D438193A9BD4FD9,746770557523798806,0,0
BD2BF906CF6AD7AF,746802064583485758,0,0
526B6D86D19F9548,746901926506218980,0,0
3E1FD13E3FD26C75,746940533245355653,0,0
6B361F639892E859,742618261335571885,0,0
A94D31173C0634BC,754609311976159691,0,0
3D622C285302BA14,740803094654727926,0,0
4A35E28E7154C4F1,740842227455647017,0,0
56500A95BB81C0C4,754692449782878757,0,0
B944A2F91472B631,740997096917042681,0,0
5EC6373DDF070A2E,754719506655758832,0,0
D0E3453E08715DA1,747547052853440361,0,0
052C192EF6C60E2A,754832982567630657,0,0
D9E1412865DC6B1F,741073847431180772,0,0
579A3C0F72DFDD7F,754833842927748137,0,0
F9BBD46C7BAF325D,741379645828308642,0,0
2B444BF8263D97B4,754873065724613991,0,0
70FC434E9C6E7E90,754117168412835530,0,0
61DC6297E629476B,754948852054286340,0,0
1B6DCCABEFC17BD9,755015894080977593,0,0
19AFDA299BAA5BAF,760085823896155166,0,0
B67541A4633C2E09,760297120756092744,0,2
FCD51E782FE41A39,741425468471685503,0,0
86D26A1CEC0634C5,755033318151676392,0,0
841A118A9872178F,741681461577693145,0,0
49CCD55E3D52671E,760811800111789986,0,0
92CBDBA9D79BD99C,755105085109632235,0,0
0068F8D3C5C141E9,741694946599857484,0,0
B328662CCF322341,755114419934135943,0,0
